score,comment,timestamp
5,不错,2025/08/21 00:00:00
5,巨香，辣味很足，每一根粉都裹满酱汁特别好吃,2025/08/21 00:00:00
5,份量很足，味道真的很不错，越吃越上头呀??,2025/08/21 00:00:00
5,很好吃，口感很细腻，和图片上描述一致，非常好，必须五星好评,2025/08/20 00:00:00
5,西丽最好吃的新疆炒米粉，会有点偏辣，但是越辣越好吃。好喜欢里面的泡菜和芹菜#【爆款】泡菜鸡肉炒米粉(香辣)#,2025/08/20 00:00:00
5,味道挺不错的，份量也很足,2025/08/20 00:00:00
5,挺好吃的,2025/08/20 00:00:00
5,味道挺符合我的 很不错,2025/08/19 00:00:00
5,#豪华炒米粉夜宵随心选套餐#,2025/08/19 00:00:00
5,新疆炒米粉很好吃这家做的很地道每次的备注老板也都贴心的做好了。真的很暖心。爱了爱了,2025/08/19 00:00:00
5,#【招牌】酱香鸡肉炒米粉#非常好吃，点了无数次,2025/08/19 00:00:00
5,#超好吃新疆炒米粉双人随心选#好吃好吃死了哈哈哈哈 我们同事两个无限回购的外卖,2025/08/19 00:00:00
5,好吃。味道不错。非常推荐#豪华炒米粉夜宵随心选套餐#商家还送了一次性围裙。很贴心,2025/08/18 00:00:00
5,真不错啊 正宗的新疆炒米粉 特别有味道 #豪华炒米粉夜宵随心选套餐#好吃爱吃,2025/08/18 00:00:00
3,一般般,2025/08/17 00:00:00
5,#豪华炒米粉夜宵随心选套餐#很好吃，我每次都来他们家买送的很快，而且老板人超好，我觉得是超级正宗的新疆炒米粉，我已经吃了好几次了,2025/08/17 00:00:00
5,#【招牌】酱香鸡肉炒米粉#味道不错，份量也足，可以试试??,2025/08/17 00:00:00
5,#豪华炒米粉夜宵随心选套餐#好吃 份量很足 很不错,2025/08/17 00:00:00
5,第一次吃炒米粉很惊艳特别好吃。糯糯的。酱很足很好吃。还有番茄味。很喜欢,2025/08/17 00:00:00
5,#豪华炒米粉夜宵随心选套餐#一如既往的好吃 分量很足 每次都有送醋包和围裙,2025/08/17 00:00:00
