店铺名称,评论用户,用户id,评分,评论内容,评论时间,下单时间,处理时间,配送时间,配送评分,评论类型,评论id,图片数量,图片链接,标签,商家回复
桃爷·新疆炒米粉,ZBH540899880,4851851933,5,#新疆酱香牛肉炒馕#新疆牛肉炒馕非常好吃，推荐大家都来品尝??????,2025/6/16 0:00,2025/6/16 0:00,2025/6/16 23:31,65,0,11,8787083294,3,http://p0.meituan.net/wmcomment/4fe0968cc2f73b7221b96b436cf2e43f737080.jpg; http://p0.meituan.net/wmcomment/06f239a39750aa3c5e9cce09cc6fff69797697.jpg; http://p0.meituan.net/wmcomment/3218957ff96bf3e3ab15fd2455b43627755382.jpg,,
桃爷·新疆炒米粉,张国伟0,593305022,5,我嘞个料足味美啊，一打开满满当当给我震惊了，分量超级大#【养生】野蘑菇鸡肉炒米粉# #宠粉收藏??超值加菜3选1#,2025/6/16 0:00,2025/6/16 0:00,2025/6/16 18:27,39,0,11,8786049452,2,http://p0.meituan.net/wmcomment/61752e1db2ed52e8c647e41fb45574011012853.jpg; http://p0.meituan.net/wmcomment/b5cd80f23dbacfd5a6b1d6f914e7faa9826792.jpg,,
桃爷·新疆炒米粉,匿名用户,0,5,味道超赞一看就有食欲，真的很值得推荐已经收藏了，量也很足，而且种类选择多，真的强烈推荐。,2025/6/16 0:00,2025/6/16 0:00,2025/6/16 16:05,19,0,4,8785622459,2,http://p0.meituan.net/wmcomment/2128f6d17be5d3255806877a642a8969224912.jpg; http://p0.meituan.net/wmcomment/7075e5b3b878ede146bb6973c8db5d3e199959.jpg,,
桃爷·新疆炒米粉,匿名用户,0,5,味道很好，闻着就很香，然后吃起来也很棒，色香味俱全，一次非常棒的体验，味道超级棒，然后口味也刚刚好,2025/6/15 0:00,2025/6/15 0:00,2025/6/15 22:40,39,0,4,8783829603,3,http://p0.meituan.net/wmcomment/7ceda1d337d9833b5d0c974fad88571c954097.jpg; http://p0.meituan.net/wmcomment/5fdab8c31ed47a6878f3de5a28c0ae1d923360.jpg; http://p0.meituan.net/wmcomment/c905367128b35b25c26b79f3de72ae16935426.jpg,,
桃爷·新疆炒米粉,吃了吗,3624552577,5,非常好吃 ，，包装完整，出餐及时，还送了小围裙，不怕溅到衣服上??????,2025/6/15 0:00,2025/6/15 0:00,2025/6/15 9:46,67,0,11,8780853352,3,http://p0.meituan.net/wmcomment/c6e9509371064578708d9d1c024cdd37705118.jpg; http://p0.meituan.net/wmcomment/d1873a8012ff7dba71ea127708cbc3b9757934.jpg; http://p0.meituan.net/wmcomment/0a2086ebc604ae0410015ae512b67aa2721033.jpg,,
桃爷·新疆炒米粉,子絮絮ouo,932573287,5,点很多次了，很好吃,2025/6/14 0:00,2025/6/14 0:00,2025/6/14 15:00,52,0,4,8778477879,1,http://p0.meituan.net/wmcomment/5e8678bcf1cb888f6dabd15e9a572f2b918888.jpg,,
桃爷·新疆炒米粉,QNx519435064,4664952084,5,非常棒的一次外卖体验，多次回头客了，希望老板生意兴隆！！,2025/6/14 0:00,2025/6/14 0:00,2025/6/14 20:21,51,0,4,8779671876,1,http://p0.meituan.net/wmcomment/8941b95d4e217eff4b8be13e89dcee601119377.jpg,,
桃爷·新疆炒米粉,MNx606177776,2692222462,5,不错不错，值得表扬，大家冲，#【招牌】酱香鸡肉炒米粉#很好吃，冲冲冲冲冲冲冲冲冲冲冲冲,2025/6/14 0:00,2025/6/14 0:00,2025/6/14 12:47,51,0,4,8777945437,5,http://p0.meituan.net/wmcomment/1e7163d2a151d70ea7f7cbee719647571216223.jpg; http://p0.meituan.net/wmcomment/7ccdf5a81cea50384207b711369a78481219705.jpg; http://p0.meituan.net/wmcomment/975664a0a02e53b070303c907d171aa01244496.jpg; http://p0.meituan.net/wmcomment/df51cf082783c21a6fe07b5bf29a9fac1240765.jpg; http://p0.meituan.net/wmcomment/3b5cc80aa7cf8cc5e5b74c2fd92ba2471243132.jpg,,
桃爷·新疆炒米粉,ZBH540899880,4851851933,5,新疆牛肉炒馕实在是太好吃了，加了芹菜就是无敌爆炸好吃，没吃过的一定要尝尝，,2025/6/14 0:00,2025/6/14 0:00,2025/6/14 12:12,44,0,11,8777750852,3,http://p0.meituan.net/wmcomment/4e5af266509d8230dade5e8f03a2be89822806.jpg; http://p0.meituan.net/wmcomment/3521bff827bc76229107d298bb495ddc652065.jpg; http://p0.meituan.net/wmcomment/32818663e3117f086f8ae40e1bb0ca35632801.jpg,,
桃爷·新疆炒米粉,TuH406860827,1812249554,5,不错不错，好吃的,2025/6/14 0:00,2025/6/14 0:00,2025/6/14 19:02,30,0,4,8779320131,3,http://p0.meituan.net/wmcomment/217eeeacd1656b9fc56ebc28a0290fa5810910.jpg; http://p0.meituan.net/wmcomment/73c470c009e9eed560cacf9c40444885922670.jpg; http://p0.meituan.net/wmcomment/b703b441c15c237769a4239d0479edae1024388.jpg,,
桃爷·新疆炒米粉,vyZ669319849,49875100,5,#特色酱香鸡肉炒年糕# #加料·秘制牛肉片（炒在粉里呦）#好吃！给的肉很多很多,2025/6/13 0:00,2025/6/13 0:00,2025/6/13 13:43,96,0,11,8774867478,2,http://p0.meituan.net/wmcomment/829ce50c92f6c1e833ad7325609ab554293169.jpg; http://p0.meituan.net/wmcomment/9618e61d01f4d9625e9928cccf212fa2241409.jpg,,
桃爷·新疆炒米粉,ZPeng然心动,271046994,5,味道和份量非常好，包装的也非常好，食材很新鲜，牛肉鸡肉也很入味好吃，性价比非常高,2025/6/13 0:00,2025/6/13 0:00,2025/6/13 18:06,93,0,4,8775583682,1,http://p0.meituan.net/wmcomment/155f8a72b92ac25eadf03de8f9bfad9589296.jpg,,
桃爷·新疆炒米粉,陈mannxi,2922184787,5,好吃好吃 这是回购的第二回了,2025/6/12 0:00,2025/6/12 0:00,2025/6/12 12:33,61,0,4,8771428618,1,http://p0.meituan.net/wmcomment/8c95fcfb1a15e50e7816bc7ef061d051191734.jpg,,
桃爷·新疆炒米粉,匿名用户,0,5,#【养生】野蘑菇鸡肉炒米粉# #【招牌】酱香鸡肉炒米粉# #【网红】夹心蟹排炒米粉# #点亮↗?超值购 |夹心牛肉丸限1颗多点不送# #点亮↗?超值购 |蟹棒一颗（仅限一份）# #点亮↗?超值购 |美味鱼豆腐限1颗多点不送#味道超赞！分量足到惊喜，包装严实没洒，配送超快，吃完立马又下单了，必须五星好评！,2025/6/12 0:00,2025/6/12 0:00,2025/6/12 22:41,99,0,4,8773397057,3,http://p0.meituan.net/wmcomment/73be59ff1d12e56f38800a237210f9621139443.jpg; http://p0.meituan.net/wmcomment/8be3f34d7f0ba9d8f0b99525877ce6f91204423.jpg; http://p0.meituan.net/wmcomment/49786fce44c8edf057182150738204371119047.jpg,仪表整洁; 穿戴工服; 货品完好; 礼貌热情; 快速准时; 风雨无阻,
桃爷·新疆炒米粉,匿名用户,0,5,非常好吃，吃过那么多家，你们家味道确实不错，不会很硬 也不会吃着不香，以后就点你们家啦#【爆款】泡菜鸡肉炒米粉(香辣)# ,2025/6/12 0:00,2025/6/12 0:00,2025/6/12 18:09,27,0,4,8772412348,1,http://p0.meituan.net/wmcomment/ff6ea100bd2b00c6533c3d9772db5b77275518.jpg,,
桃爷·新疆炒米粉,ZBH540899880,4851851933,5,我宣布这是我在深圳吃到最正宗的新疆炒米粉，吃进嘴的那一刻幸福感爆棚！，谁懂啊居然在深圳能吃到味道和新疆吃的一模一样的炒米粉，只要我还在深圳就会一直去吃,2025/6/12 0:00,2025/6/12 0:00,2025/6/12 20:56,40,0,11,8773068726,3,http://p0.meituan.net/wmcomment/1411a47affc8d0fde1a146cbf3c02893760568.jpg; http://p0.meituan.net/wmcomment/9e84574a857ba3d33baf97e7cb9dc5d4826084.jpg; http://p0.meituan.net/wmcomment/059b91cf87a746c162489edf91bb65d2673885.jpg,,
桃爷·新疆炒米粉,肚子吁吁叫,1093984924,5,#豪华炒米粉夜宵随心选套餐# #加料·野蘑菇（炒在粉里呦）#好吃,2025/6/11 0:00,2025/6/11 0:00,2025/6/11 11:55,36,0,4,8768120480,1,http://p0.meituan.net/wmcomment/957ebb228906b74398287a99aa584d32152409.jpg,,太高兴您喜欢我们的豪华炒米粉和加料的野蘑菇！感谢您的好评，希望下次还能为您带来更多的美味。
桃爷·新疆炒米粉,abcarrot,3119974328,5,味道很不错，不会很咸，份量大,2025/6/11 0:00,2025/6/11 0:00,2025/6/11 18:03,42,0,4,8769290514,3,http://p0.meituan.net/wmcomment/8c0458626677137415d6f5779d9b650a238182.jpg; http://p0.meituan.net/wmcomment/fa8f500898b0ad4eb2eba506498aa673235453.jpg; http://p0.meituan.net/wmcomment/4562a03104e4cc7033388f32104f8054235134.jpg,,收到这么好的评价真的很开心，感谢您的支持！我们一直致力于提供美味且恰到好处的菜品，很高兴您喜欢我们的份量和口味。希望下次能再次为您带来满意的用餐体验，期待您的下次光临！
桃爷·新疆炒米粉,UNb179010407,2710355488,5,量又足，吃起来又新鲜，吃完之后再洗个冷水过瘾过瘾啊，舒服，价格还实惠,2025/6/10 0:00,2025/6/10 0:00,2025/6/10 17:34,36,0,4,8766118812,1,http://p0.meituan.net/wmcomment/b5931d9a97653fee969215e585dad31b1077894.jpg,,感谢您的好评！很高兴您对我们的食物非常满意，量足且新鲜是我们一直追求。您的支持是我们的动力，我们会继续努力保持价格实惠，服务优质。期待您的下次光临！
桃爷·新疆炒米粉,小姜isocol,1501359175,5,年糕特别软糯 微辣可以接受 沾着汤吃巨无敌好吃！,2025/6/10 0:00,2025/6/10 0:00,2025/6/10 13:29,62,0,4,8765492819,1,http://p0.meituan.net/wmcomment/5e902c6664274cec55211ef73061c5481122767.jpg,,太高兴您喜欢我们的年糕和汤了！感谢您的五星好评，您的满意是我们最大的动力！我们期待再次为您服务，希望下次您能继续享受美食的快乐！
桃爷·新疆炒米粉,ZBH540899880,4851851933,5,非常好吃，太好吃了，很正宗的新疆炒米粉，这也太好了,2025/6/10 0:00,2025/6/10 0:00,2025/6/10 20:54,32,0,11,8766874684,3,http://p0.meituan.net/wmcomment/53fcd60786069769a4a26d28968bea0e776067.jpg; http://p0.meituan.net/wmcomment/01fba048bdd2ea0ae15ca78900221966794480.jpg; http://p0.meituan.net/wmcomment/d6676e76c0fb6e299f18d089d9f043e2661058.jpg,,感谢你的支持和喜爱！很高兴你能喜欢我们的新新疆炒米粉。我们会继续努力保持正宗的味道。期待你的下次光临！
桃爷·新疆炒米粉,匿名用户,0,5,#【超值】牛肉炒米粉+馕+宽粉三拼#牛肉炒米粉还挺好吃的，配上馕味道是真的不错，份量也挺足的,2025/6/10 0:00,2025/6/10 0:00,2025/6/10 17:23,48,0,4,8766084692,3,http://p0.meituan.net/wmcomment/4ba98ae3dcafe23e46d1447d7c850b42804583.jpg; http://p0.meituan.net/wmcomment/4aecdc62e35ba6a3eb5d3462d325ab68871924.jpg; http://p0.meituan.net/wmcomment/b032aaa122cb8869e94f83cca62c6bd6871908.jpg,,非常感谢您的好评！很高兴您喜欢我们的牛肉炒米粉和搭配。我们会继续努力保持和提升品质。期待您的下次光临！
桃爷·新疆炒米粉,匿名用户,0,5,"#【豪气】牛肉炒米粉+馕双拼#超级香加料给的很多
，推荐点双拼的米粉和馕味道都不错，有点辣吃不了的建议微辣就好。",2025/6/9 0:00,2025/6/9 0:00,2025/6/9 19:37,56,0,11,8763501944,1,http://p0.meituan.net/wmcomment/c1086229671892d0b6758c4e00667143820747.jpg,,謝謝你的讚賞和支持，我們很高興你喜歡我們的餐點！下次如果能提前告訴我們你的口味需求（如辣度），我們會更為對你客氣哦。期待下次再為你服務！
